Type,# Threads,# Loops,Microseconds,Update Frequency
Locking V2 - Approx, 4, 1000000, 294983, 10000
Locking V2 - Approx, 10, 1000000, 783850, 10000
Locking V2 - Approx, 20, 1000000, 1463568, 10000
Locking V2 - Approx, 0, 1000000, 7720, 1000000
Locking V2 - Approx, 1, 1000000, 51260, 1000000
Locking V2 - Approx, 2, 1000000, 120782, 1000000
Locking V2 - Approx, 4, 1000000, 294184, 1000000
Locking V2 - Approx, 10, 1000000, 776831, 1000000
Locking V2 - Approx, 20, 1000000, 1449354, 1000000
Locking V2 - Approx, 0, 1000000, 8080, 100
Locking V2 - Approx, 1, 1000000, 59000, 100
Locking V2 - Approx, 2, 1000000, 101647, 100
Locking V2 - Approx, 4, 1000000, 305855, 100
Locking V2 - Approx, 10, 1000000, 795333, 100
Locking V2 - Approx, 20, 1000000, 1430077, 100
Locking V2 - Approx, 0, 1000000, 7819, 10000
Locking V2 - Approx, 1, 1000000, 55082, 10000
Locking V2 - Approx, 2, 1000000, 93499, 10000
Locking V2 - Approx, 4, 1000000, 292031, 10000
Locking V2 - Approx, 10, 1000000, 775264, 10000
Locking V2 - Approx, 20, 1000000, 1444345, 10000
Locking V2 - Approx, 0, 1000000, 7765, 1000000
Locking V2 - Approx, 1, 1000000, 55129, 1000000
Locking V2 - Approx, 2, 1000000, 118117, 1000000
Locking V2 - Approx, 4, 1000000, 283963, 1000000
Locking V2 - Approx, 10, 1000000, 780825, 1000000
Locking V2 - Approx, 20, 1000000, 1436280, 1000000
Locking V2 - Approx, 0, 1000000, 8064, 100
Locking V2 - Approx, 1, 1000000, 68819, 100
Locking V2 - Approx, 2, 1000000, 98992, 100
Locking V2 - Approx, 4, 1000000, 298961, 100
Locking V2 - Approx, 10, 1000000, 762221, 100
Locking V2 - Approx, 20, 1000000, 1443536, 100
Locking V2 - Approx, 0, 1000000, 7719, 10000
Locking V2 - Approx, 1, 1000000, 46984, 10000
Locking V2 - Approx, 2, 1000000, 101846, 10000
Locking V2 - Approx, 4, 1000000, 279345, 10000
Locking V2 - Approx, 10, 1000000, 689363, 10000
Locking V2 - Approx, 20, 1000000, 1421023, 10000
Locking V2 - Approx, 0, 1000000, 7784, 1000000
Locking V2 - Approx, 1, 1000000, 43648, 1000000
Locking V2 - Approx, 2, 1000000, 98815, 1000000
Locking V2 - Approx, 4, 1000000, 288130, 1000000
Locking V2 - Approx, 10, 1000000, 780342, 1000000
Locking V2 - Approx, 20, 1000000, 1432855, 1000000
